,DATE,GDPC1_PCH,GNP_PCH,GNPC96_PCH,CPILFESL,PCEPILFE,JHDUSRGDPBR,UNRATE
58,1961-10-01,1.96111,2.28357,1.9630599999999998,31.1666666666666667,17.4876666666666667,,6.2000000000000000
59,1962-01-01,1.7836,2.2945599999999997,1.76709,31.2333333333333333,17.5520000000000000,,5.6333333333333333
60,1962-04-01,0.9036700000000001,1.12849,0.9613799999999999,31.3666666666666667,17.6196666666666667,,5.5333333333333333
61,1962-07-01,1.22851,1.44285,1.2268,31.4666666666666667,17.6776666666666667,,5.5666666666666667
62,1962-10-01,0.32886,0.64135,0.43185,31.5333333333333333,17.7106666666666667,,5.5333333333333333
63,1963-01-01,1.09161,1.48604,1.0446600000000001,31.6000000000000000,17.7696666666666667,,5.7666666666666667
64,1963-04-01,1.12212,1.26322,1.0852700000000002,31.7333333333333333,17.8366666666666667,,5.7333333333333333
65,1963-07-01,2.19843,2.33295,2.19613,31.8666666666666667,17.9053333333333333,,5.5000000000000000
66,1963-10-01,0.6556,1.49195,0.67408,32.0333333333333333,17.9916666666666667,,5.5666666666666667
67,1964-01-01,2.1082799999999997,2.4776700000000003,2.15888,32.2000000000000000,18.0676666666666667,,5.4666666666666667
68,1964-04-01,1.0887,1.28452,1.04926,32.2333333333333333,18.1220000000000000,,5.2000000000000000
69,1964-07-01,1.5623,1.97938,1.5734299999999999,32.3000000000000000,18.1720000000000000,,5.0000000000000000
70,1964-10-01,0.30889,0.70838,0.25258,32.4666666666666667,18.2180000000000000,,4.9666666666666667
71,1965-01-01,2.41977,3.02101,2.4992,32.6000000000000000,18.2866666666666667,,4.9000000000000000
72,1965-04-01,1.2632700000000001,1.7431599999999998,1.27898,32.7000000000000000,18.3440000000000000,,4.6666666666666667
73,1965-07-01,2.22327,2.54732,2.14961,32.7333333333333333,18.4006666666666667,,4.3666666666666667
74,1965-10-01,2.30404,2.92456,2.22148,32.9000000000000000,18.4620000000000000,,4.1000000000000000
75,1966-01-01,2.43423,3.10155,2.44065,33.0666666666666667,18.5543333333333333,,3.8666666666666667
76,1966-04-01,0.34162,1.16156,0.3405,33.4000000000000000,18.7046666666666667,,3.8333333333333333
77,1966-07-01,0.84691,1.7989400000000002,0.8264299999999999,33.7000000000000000,18.8593333333333333,,3.7666666666666667
78,1966-10-01,0.82037,1.6929299999999998,0.84391,34.0333333333333333,19.0223333333333333,,3.7000000000000000
79,1967-01-01,0.88559,1.29102,0.8715299999999999,34.2333333333333333,19.1273333333333333,,3.8333333333333333
80,1967-04-01,0.061270000000000005,0.55004,0.042539999999999994,34.5000000000000000,19.2553333333333333,,3.8333333333333333
81,1967-07-01,0.9461299999999999,1.9739799999999998,1.0056200000000002,34.8666666666666667,19.4303333333333333,,3.8000000000000000
82,1967-10-01,0.75402,1.84873,0.72888,35.2333333333333333,19.6263333333333333,0.0,3.9000000000000000
83,1968-01-01,2.0394900000000002,3.17703,2.04292,35.6666666666666667,19.8496666666666667,0.0,3.7333333333333333
84,1968-04-01,1.67081,2.74693,1.67323,36.0333333333333333,20.0806666666666667,0.0,3.5666666666666667
85,1968-07-01,0.7749699999999999,1.7794599999999998,0.78996,36.5333333333333333,20.3053333333333333,0.0,3.5333333333333333
86,1968-10-01,0.3933,1.79965,0.38549,37.0666666666666667,20.5413333333333333,0.0,3.4000000000000000
87,1969-01-01,1.56511,2.60392,1.5572700000000002,37.5666666666666667,20.7660000000000000,0.0,3.4000000000000000
88,1969-04-01,0.30401,1.55151,0.27703,38.1666666666666667,21.0146666666666667,1.0,3.4333333333333333
89,1969-07-01,0.66051,2.0413099999999997,0.6271100000000001,38.7000000000000000,21.2573333333333333,1.0,3.5666666666666667
90,1969-10-01,-0.48768999999999996,0.79737,-0.48502,39.2333333333333333,21.5063333333333333,1.0,3.5666666666666667
91,1970-01-01,-0.14848,1.27595,-0.13111,39.8333333333333333,21.7413333333333333,1.0,4.1666666666666667
92,1970-04-01,0.14192000000000002,1.56267,0.16267,40.5666666666666667,21.9870000000000000,1.0,4.7666666666666667
93,1970-07-01,0.92158,1.7347099999999998,0.9061299999999999,41.1000000000000000,22.2313333333333333,1.0,5.1666666666666667
94,1970-10-01,-1.07164,0.1857,-1.1194600000000001,41.7666666666666667,22.5436666666666667,1.0,5.8333333333333333
95,1971-01-01,2.71599,4.37556,2.8104299999999998,42.1666666666666667,22.8293333333333333,0.0,5.9333333333333333
96,1971-04-01,0.5411100000000001,1.89713,0.57527,42.6000000000000000,23.0896666666666667,0.0,5.9000000000000000
97,1971-07-01,0.8229799999999999,1.7770299999999999,0.74763,42.9666666666666667,23.3073333333333333,0.0,6.0333333333333333
98,1971-10-01,0.23578000000000002,1.1047,0.26945,43.2000000000000000,23.4403333333333333,0.0,5.9333333333333333
99,1972-01-01,1.83895,3.4021800000000004,1.85607,43.5666666666666667,23.6650000000000000,0.0,5.7666666666666667
100,1972-04-01,2.2697599999999998,2.88194,2.2431099999999997,43.9000000000000000,23.8250000000000000,0.0,5.7000000000000000
101,1972-07-01,0.94439,1.9615799999999999,0.9944200000000001,44.2333333333333333,24.0043333333333333,0.0,5.5666666666666667
102,1972-10-01,1.6744599999999998,2.95825,1.65815,44.4666666666666667,24.1550000000000000,0.0,5.3666666666666667
103,1973-01-01,2.4748099999999997,3.75454,2.56677,44.8000000000000000,24.3233333333333333,0.0,4.9333333333333333
104,1973-04-01,1.08865,2.69083,1.13325,45.2666666666666667,24.6546666666666667,0.0,4.9333333333333333
105,1973-07-01,-0.5259,1.5574700000000001,-0.38143,45.7333333333333333,24.9823333333333333,0.0,4.8000000000000000
106,1973-10-01,0.9492299999999999,2.96163,0.9469700000000001,46.5000000000000000,25.3300000000000000,1.0,4.7666666666666667
107,1974-01-01,-0.85977,1.18644,-0.67901,47.2333333333333333,25.7650000000000000,1.0,5.1333333333333333
108,1974-04-01,0.23768000000000003,2.53117,0.17193,48.4666666666666667,26.4050000000000000,1.0,5.2000000000000000
109,1974-07-01,-0.9451299999999999,1.8655599999999999,-1.03485,50.1333333333333333,27.1600000000000000,1.0,5.6333333333333333
110,1974-10-01,-0.38814,2.39414,-0.52569,51.6000000000000000,27.8230000000000000,1.0,6.6000000000000000
111,1975-01-01,-1.2173,0.89856,-1.3491600000000001,52.7000000000000000,28.3673333333333333,1.0,8.2666666666666667
112,1975-04-01,0.71454,2.21178,0.71487,53.5333333333333333,28.7990000000000000,0.0,8.8666666666666667
113,1975-07-01,1.71166,3.56529,1.76027,54.2333333333333333,29.2316666666666667,0.0,8.4666666666666667
114,1975-10-01,1.34651,3.19123,1.48987,55.1666666666666667,29.7076666666666667,0.0,8.3000000000000000
115,1976-01-01,2.24876,3.2869900000000003,2.19999,56.2000000000000000,30.1593333333333333,0.0,7.7333333333333333
116,1976-04-01,0.7337,1.78322,0.76256,56.9666666666666667,30.5206666666666667,0.0,7.5666666666666667
117,1976-07-01,0.54872,1.85663,0.55293,57.9000000000000000,30.9986666666666667,0.0,7.7333333333333333
118,1976-10-01,0.72485,2.54628,0.74068,58.7000000000000000,31.4840000000000000,0.0,7.7666666666666667
119,1977-01-01,1.18149,2.9333299999999998,1.30525,59.6666666666666667,32.0133333333333333,0.0,7.5000000000000000
120,1977-04-01,1.9441099999999998,3.3465,1.9018599999999999,60.6333333333333333,32.5033333333333333,0.0,7.1333333333333333
121,1977-07-01,1.80435,3.01927,1.7755599999999998,61.5000000000000000,33.0436666666666667,0.0,6.9000000000000000
122,1977-10-01,0.0021899999999999997,2.0417799999999997,-0.11023,62.3333333333333333,33.5240000000000000,0.0,6.6666666666666667
