YEAR FORECAST MADE,YEAR BEING FORECAST,FORECASTER_CONF,INDICATOR,actual,pred_average,pred_var,banana,beef,bread,chicken,eggs,electricity,flour,iceCream,unleadedGasoline
2017,2020,0.2525719424460433,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.2885822147651005,RealGDP,-3.40459,1.95,1.9475,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.2572015915119365,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.3181024096385542,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.2597923875432527,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.0,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.3354056437389771,RealGDP,-3.40459,0.9,0.84,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.2792508771929828,RealGDP,-3.40459,2.23,0.9771,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.3007236842105265,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.3061271676300577,RealGDP,-3.40459,1.73,1.8971,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.4100543478260871,RealGDP,-3.40459,,,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.2569554924242421,RealGDP,-3.40459,3.07,1.4251,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.2561120000000005,RealGDP,-3.40459,2.04,2.2284,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
2017,2020,0.3518173652694606,RealGDP,-3.40459,1.58,1.7136,0.5723333333333332,3.568,1.346,1.4509999999999998,1.489,0.1343333333333333,0.529,4.818333333333334,2.3243333333333336
