INDICATOR,Unemployment actual,INDICATOR,RealGDP actual,INDICATOR,Core CPI actual,INDICATOR,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE,Linear Regression Unemployment,Linear Regression RealGDP,Linear Regression Core CPI,Linear Regression Core PCE,KNeigborsRegressor Unemployment,KNeigborsRegressor RealGDP,KNeigborsRegressor Core CPI,KNeigborsRegressor Core PCE
Unemployment,8.108333,RealGDP,2.85497,Core CPI,0.645572526463334,Core PCE,1.45028728412906,4.0409346,2.8499026,0.68523216,1.456995,2.0564999099999994,2.8549700000000007,0.8511157248400985,1.4540235834958413,-2.9938677294239042,1.7887459952844624,1.5414052117171941,1.8279949153687376,4.8649998,2.85497,0.8665025912994612,1.501467340467064
Unemployment,5.275,RealGDP,1.55083,Core CPI,0.645572526463334,Core PCE,1.55932373235605,5.1564436,1.8628091,0.67557114,1.545815,5.307916666666659,1.7707127999999996,0.689758539430559,1.5320170490533582,6.107090392175021,0.9999792469581532,1.290857622307815,1.1834524444304648,5.275,1.8303180000000001,1.0874326561355885,1.535095991163274
Unemployment,8.93333333333333,RealGDP,4.02883,Core CPI,2.31034482758621,Core PCE,2.25317372895313,8.905989,3.9264374,2.2930667,2.2228549,8.907583333333312,3.921325800000009,2.1951397157653743,2.2514391039616366,7.451910920796745,2.2772332163770237,2.466177364159403,1.8977875372165096,8.93333333333333,3.5224400000000005,2.12384635156733,2.25317372895313
Unemployment,3.683333,RealGDP,3.52244,Core CPI,1.7271000610448,Core PCE,2.009623,3.687074,3.5230687,1.7569623,1.9821081,3.6833330000000033,3.5070482000000016,1.72657240196394,2.002383820000003,2.2440761644882805,2.7850507771915325,2.0909806781402516,1.3156794852986362,3.683333,3.623718,1.7271000610448,2.009623
Unemployment,5.275,RealGDP,2.8612,Core CPI,1.94900192417855,Core PCE,1.647664,5.2126546,3.2829814,1.994004,1.8122665,5.729666666666661,3.076870999999999,2.034034071973371,1.6549031800000003,5.635851961803137,2.9310779709300414,1.4397624822413704,1.4972971278288973,5.195,2.8612,2.084195245015172,1.647664
Unemployment,4.875,RealGDP,1.71142,Core CPI,1.99951403422141,Core PCE,1.55932373235605,4.6776023,1.7953993,2.0678818,1.6843381,4.674933333333334,1.833111800000002,2.0057306500887084,1.5512175339486347,5.137166246592933,2.1757381144495342,2.343676271665318,1.6488651205667875,4.665000000000001,2.25559,1.99951403422141,1.5350959911632738
Unemployment,3.683333,RealGDP,2.99646,Core CPI,2.191476,Core PCE,1.647664,0.9335995,3.0190346,2.1912866,1.6622484,2.1907249224285734,2.9714898000000067,2.2793260779205777,1.6476640000000002,4.098021135891798,3.695371040819593,2.237058519272331,2.2001189556697947,3.8500002,2.730948,2.2707536,1.647664
Unemployment,8.108333,RealGDP,2.8612,Core CPI,2.191476,Core PCE,1.80752567718949,8.357575,2.8376565,2.2342787,1.8017507,8.10833300000001,2.861199999999997,2.2162502499999963,1.8422918757930082,3.0312648617932325,3.45507469107966,2.0523525532429225,1.7405740181405296,8.108333,2.8612,2.2311148,1.739416650796882
Unemployment,5.275,RealGDP,3.07551,Core CPI,2.18235875482555,Core PCE,1.664742,4.9773464,2.8447495,2.1444721,1.6691074,4.895,2.9486592500000035,2.1532913058010736,1.716702524999999,6.184682323469701,1.986560963833539,2.3074035167464046,1.9375027175857946,5.034999999999999,2.10849,2.00644925289533,1.696172
Unemployment,3.89166666666667,RealGDP,2.33268,Core CPI,1.99419965387277,Core PCE,0.923599155883825,3.8025055,2.6697838,1.8274266,1.597684,3.889583332472094,2.6162621800000045,1.8808771530415225,1.4546368395837614,4.10914277454442,2.2306990294533717,2.120415347049951,1.6253061736211043,4.376666666666668,2.662348,1.8873598167415817,1.92555704965729
Unemployment,8.108333,RealGDP,2.68428,Core CPI,1.99951403422141,Core PCE,1.92555704965729,7.6951013,3.0447178,1.8272316,1.7991838,8.108333000000012,2.7822198000000005,1.916977183022078,1.7675462639012856,3.07112635350682,3.561900224046113,1.1989445989435552,1.62758076303248,8.108333,3.2221,1.9496557975059219,1.645861872144155
Unemployment,3.683333,RealGDP,2.68428,Core CPI,1.7271000610448,Core PCE,1.382284,0.67515236,2.8648064,1.7554408,1.4264894,0.5156666199999999,2.887414400000001,1.7462128803284054,1.3928991999999991,4.906796023074644,4.52308916648029,2.496157902994451,2.3730884182565974,3.9799998000000003,2.901924,1.8339398981759878,1.4884359999999999
Unemployment,8.075,RealGDP,4.44722,Core CPI,2.290573,Core PCE,1.55932373235605,8.116329,4.484774,2.1040704,1.582179,8.075000000000012,4.447220000000003,2.1938806175482526,1.6217702320497887,7.628428255888306,4.7354125667855405,2.1447691871443872,2.0676431920206717,8.246666666666666,4.44722,2.0277762,1.824749860398494
Unemployment,5.275,RealGDP,2.52597,Core CPI,1.99951403422141,Core PCE,1.55932373235605,4.9193616,2.3090308,1.7961171,1.4861057,5.259666666666658,2.2554225000000008,1.8200243820456548,1.5423239339524517,6.71078628560554,1.4226402292999403,1.7728962163810689,0.7330011838576311,5.804999999999998,2.083596,1.849939324074946,1.5411529264614678
Unemployment,3.683333,RealGDP,2.56377,Core CPI,1.75022285064397,Core PCE,1.80752567718949,3.810983,2.4812021,2.3391874,1.8060486,3.771428520000002,2.3594388000000013,1.646957604852872,1.7983541471008724,5.454607003331265,1.4030206069231221,1.4163071724360137,1.2018040363986948,3.8083334,2.438082,1.7502228506439699,1.8075256771894899
Unemployment,8.93333333333333,RealGDP,3.07551,Core CPI,1.99951403422141,Core PCE,1.664742,8.707466,2.9320958,2.0217109,1.7020317,8.79266666666665,3.0618691000000036,2.02618904253125,1.6680200299999983,10.333311751399322,1.1153964669811938,1.7729219567550452,1.8475740570974528,9.20333333333333,2.529874,1.99951403422141,1.664742
Unemployment,4.35,RealGDP,0.0,Core CPI,2.191476,Core PCE,2.25317372895313,4.653322,-0.059513953,2.2351375,2.0785146,4.622300000000003,0.0,2.2023766699999965,2.1907272292593927,4.61193942427343,-0.2263339885973874,1.970645473614967,1.595962056061924,4.665000000000001,0.0,2.2112954,2.114403729633714
Unemployment,8.93333333333333,RealGDP,0.99835,Core CPI,1.75022285064397,Core PCE,1.647664,8.917914,1.4836094,1.8272756,1.6694417,8.936833333333313,1.3649249999999995,1.868632686738455,1.6504389851658223,7.605028961641821,1.479087733759056,1.6395155258043559,1.4344066946642382,8.93333333333333,1.44436,1.899797560790434,1.647664
Unemployment,4.875,RealGDP,4.75324,Core CPI,1.72314678876611,Core PCE,2.009623,4.7156925,4.7642584,1.8729191,1.9794464,4.787850000000001,4.688000800000002,1.9148855869142767,1.9972555967718977,4.459773958684391,3.660131564084394,2.0235995978047736,1.8217169610062705,4.665000000000001,4.519356,1.858659870013574,2.009623
Unemployment,5.275,RealGDP,2.52597,Core CPI,1.94900192417855,Core PCE,8.108333,5.4008355,2.2759955,1.8619128,8.149087,5.2329999999999925,2.4853679333333343,1.918392447421668,8.108333000000009,5.501917333290795,1.901739167572492,1.4745981653185858,2.8192748880530543,5.115,2.52597,1.858659870013574,8.108333
Unemployment,8.108333,RealGDP,4.02883,Core CPI,8.108333,Core PCE,1.45028728412906,7.7840595,3.9614491,4.572488,1.2087336,7.934833076666674,3.9764194000000095,4.097646090342213,1.2890084548602407,3.9405790660796285,3.690235526673119,2.7167684976305573,1.3189192610974834,6.4866664,3.49101,1.633581,1.3970631306196881
Unemployment,4.35,RealGDP,1.84208,Core CPI,1.75022285064397,Core PCE,1.1841665165822,4.835732,1.9633454,1.6364273,1.3393931,4.668500010000002,1.8219404833333346,1.4341152693808752,1.3244121610793942,3.997236075759254,1.2822506754455052,1.3507658289998776,1.5033493010735706,4.363333399999999,1.7255800000000001,1.7502228506439699,1.290614823600944
Unemployment,4.35,RealGDP,2.24955,Core CPI,1.72314678876611,Core PCE,2.009623,4.458499,2.131558,1.8380268,1.9615966,4.3995833333333385,2.31750635,1.8205352576122409,1.959462350000002,4.071158427390401,1.9262416334368613,1.5346577385649223,2.225930628691537,4.904999999999999,2.005068,1.9038308970960618,2.009623
Unemployment,9.28333333333333,RealGDP,4.48141,Core CPI,1.99951403422141,Core PCE,1.57823742497407,9.270338,4.493698,1.8544686,1.5817087,9.28333333333331,4.477107758333329,1.797795918176666,1.5600177906800672,9.473896109972891,2.5283917325078766,2.1671696040626127,1.8055313254608834,9.28333333333333,4.460896,1.8000810873594582,1.57823742497407
Unemployment,3.683333,RealGDP,3.07551,Core CPI,2.17432412557292,Core PCE,8.108333,3.854798,2.3744788,1.9415941,8.184446,3.824479285,2.4437943833333353,2.065058291621307,7.502988590000009,5.555561137828679,1.7188801226762909,1.5408841522535788,2.8086489861563644,5.536666599999999,2.8026919999999995,2.17432412557292,8.108333
Unemployment,4.875,RealGDP,3.07551,Core CPI,1.75022285064397,Core PCE,2.009623,4.75154,2.8808825,0.95145625,1.7935685,4.8545625,3.0288825000000044,1.2641767080044903,1.7366451167718946,4.470305512477584,2.7867183520057743,1.4175903793769784,1.4381341670106664,4.875,3.0438899999999998,1.0874326561355885,1.7200558000000001
Unemployment,3.683333,RealGDP,0.0,Core CPI,2.182359,Core PCE,1.55932373235605,3.8599722,0.09469226,2.166515,1.5482745,3.708333080000003,0.0,2.169256945523426,1.5608661381746958,4.895676043176884,-0.943638127367187,1.8899694056529235,1.5538951668197507,3.7249998000000004,-2.091756,2.182359,1.55932373235605
Unemployment,5.275,RealGDP,4.75324,Core CPI,1.72314678876611,Core PCE,1.52903905586508,5.63547,4.684554,1.8787217,1.482818,5.112933333333327,4.671891200000004,1.8374884560620097,1.530856136454538,7.022890503287577,4.345757757293506,1.7959522303768196,1.7887131079498344,5.901666666666664,4.75324,1.9490019241785501,1.6799229257808839
Unemployment,0.0,RealGDP,4.44722,Core CPI,1.633581,Core PCE,1.55932373235605,0.05010888,4.36947,1.7821383,1.4508209,0.0,4.440472800000003,1.7574462438158422,1.5482900152211736,1.877311297812657,3.456384211624642,2.069447572671624,1.7543597040114838,0.0,4.44722,2.0277762000000004,1.547209861759662
Unemployment,8.075,RealGDP,2.24955,Core CPI,1.7271000610448,Core PCE,1.52903905586508,8.345298,2.319207,1.8984401,1.0437227,8.322583333333336,2.2601010999999995,1.8499658737456681,1.2989718938722035,9.285252086062606,1.437429099870391,2.108900266721566,1.622544511852733,8.446666666666664,2.24955,1.8873598167415822,1.165775115876327
Unemployment,0.0,RealGDP,2.33268,Core CPI,1.742585,Core PCE,1.1841665165822,-0.03514205,2.484392,1.8822981,1.2242291,0.0,2.4545580500000037,1.831418986538726,1.1841665165821982,1.0968489739408582,3.1119084215345323,2.1836440775233257,1.6954341601364566,0.0,2.33268,1.9221413999999999,1.311711602296268
Unemployment,3.891667,RealGDP,2.85497,Core CPI,1.94900192417855,Core PCE,1.82189194515254,3.8993578,2.6696358,1.9406121,1.8158982,3.3763752599999997,2.8549700000000007,1.9674796775870447,1.778094216938463,4.06015324812655,2.0059454205300797,1.6773238430604245,0.8424350404198364,3.1133336,2.267696,1.9490019241785501,1.8218919451525397
Unemployment,8.108333,RealGDP,2.85497,Core CPI,2.191476,Core PCE,1.45028728412906,7.9160137,2.7234852,2.303249,1.272084,8.108333000000012,2.855032300000001,2.2816542699999967,1.2586803314953199,4.207109563374143,1.2473123250683589,2.1427514548829194,1.57293466679761,8.108333,2.85497,2.2509342,1.2373906700915722
Unemployment,3.683333,RealGDP,2.33268,Core CPI,2.191476,Core PCE,1.382284,3.7115827,2.525952,2.237227,1.3905627,3.722916460000002,2.283002100000002,2.191475999999996,1.3822839999999987,4.587198010864768,1.941666807315877,1.9982333302174773,2.7500417118782456,3.7249998000000004,2.362536,2.191476,1.382284
Unemployment,6.15833333333333,RealGDP,2.75285,Core CPI,1.72314678876611,Core PCE,1.382284,6.004915,2.9808707,1.7456666,1.3803258,6.158333333333315,2.9086889,1.8108740462875026,1.393571825165821,4.636988609794539,3.5096019168905404,1.6693716332137907,1.8547392101733546,6.15833333333333,2.994332,1.768317815848598,2.7274938
