Unemployment,Unemployment actual,RealGDP,RealGDP actual,Core CPI,Core CPI actual,Core PCE,Core PCE actual,XGBoost Unemployment,XGBoost RealGDP,XGBoost Core CPI,XGBoost Core PCE,Random Forest Unemployment,Random Forest RealGDP,Random Forest Core CPI,Random Forest Core PCE
Unemployment,0.0,RealGDP,1.87618,Core CPI,1.99419965387277,Core PCE,1.1841665165822,-0.018983385,1.8305196,2.006005,1.3864743,0.0,1.7674082500000008,1.9970753690820684,1.317966124709926
Unemployment,6.15833333333333,RealGDP,2.56377,Core CPI,1.75022285064397,Core PCE,1.52903905586508,6.1821322,2.5636904,1.7782948,1.4133874,6.158333333333309,2.5183770624999946,1.669581824109472,1.5121620424806383
Unemployment,8.108333,RealGDP,1.84208,Core CPI,1.7271000610448,Core PCE,8.108333,8.053484,1.8124454,1.8047682,7.5506616,8.10833299999998,1.842080000000005,1.8016657393799176,7.996232183333344
Unemployment,0.0,RealGDP,1.55083,Core CPI,2.191476,Core PCE,0.923599155883825,0.21901347,1.7690016,2.209442,0.9062349,1.4865277166666657,1.5562909374999967,2.2151766991666633,0.923599155883824
Unemployment,8.075,RealGDP,1.87618,Core CPI,2.191476,Core PCE,2.25317372895313,8.242768,1.9320617,2.1348765,1.8929355,8.387731481481499,2.2126390624999965,2.1711702372771113,1.9736306514550748
Unemployment,4.875,RealGDP,1.71142,Core CPI,2.290573,Core PCE,1.92555704965729,4.7880464,1.9808221,2.2509663,1.5777076,4.959097222222218,1.9102274374999992,2.2697810999999968,1.8016198317372236
Unemployment,7.35833333333333,RealGDP,2.16118,Core CPI,1.75022285064397,Core PCE,1.45028728412906,7.9537873,2.5494318,1.7699696,1.5473744,8.036759259259286,2.598587135416669,1.6728973279513257,1.454552288823891
Unemployment,4.875,RealGDP,4.75324,Core CPI,2.17432412557292,Core PCE,2.009623,4.9763017,4.6448746,2.0032752,1.8790766,4.910370370370369,4.685955187500001,2.1658421000743435,1.994474044619828
Unemployment,0.0,RealGDP,3.07551,Core CPI,1.633581,Core PCE,1.52903905586508,-0.1572503,2.456703,1.6411994,1.5903037,0.0,2.0915713124999984,1.6401509200000006,1.5318749228328832
Unemployment,8.93333333333333,RealGDP,3.7989,Core CPI,1.75022285064397,Core PCE,1.55932373235605,8.17941,3.8004255,1.5199575,1.8397512,8.183842592592613,3.7935433125000033,1.3856882436643603,1.5801392322539656
Unemployment,8.93333333333333,RealGDP,2.99646,Core CPI,1.72314678876611,Core PCE,8.108333,9.004992,2.7376742,1.9119619,6.963499,8.913564814814821,2.6640815125000015,1.8946322295738103,8.052282591666676
Unemployment,6.15833333333333,RealGDP,1.7417,Core CPI,1.7271000610448,Core PCE,1.57823742497407,6.4824715,1.6710916,1.7449727,1.7405581,6.1114814814814595,1.5896076875000011,1.729231209934763,1.7779092779449976
Unemployment,4.35,RealGDP,3.52244,Core CPI,2.290573,Core PCE,1.80752567718949,4.622128,3.4076056,2.2579782,1.8296993,4.546805555555565,3.230522875000007,2.2786813599999967,1.8619059862294747
Unemployment,6.15833333333333,RealGDP,4.02883,Core CPI,2.191476,Core PCE,1.57823742497407,6.2436066,4.034965,2.233135,1.6958444,6.195648148148125,4.028830000000005,2.259337184508878,1.647518181018874
Unemployment,8.108333,RealGDP,2.85497,Core CPI,0.645572526463334,Core PCE,1.45028728412906,5.268449,2.8281963,0.96227306,1.434086,2.125277683333334,2.854969999999993,0.8595977503386776,1.4534860376501826
Unemployment,5.275,RealGDP,1.55083,Core CPI,0.645572526463334,Core PCE,1.55932373235605,5.189827,1.6335168,0.872894,1.6476041,5.3557407407407265,1.7516951249999984,0.6897585394305594,1.5332284361129964
Unemployment,8.93333333333333,RealGDP,4.02883,Core CPI,2.31034482758621,Core PCE,2.25317372895313,8.776238,3.9191914,2.3032455,2.024309,8.899953703703709,3.934718812500005,2.210681255433615,2.2531737289531297
Unemployment,3.683333,RealGDP,3.52244,Core CPI,1.7271000610448,Core PCE,2.009623,3.574766,3.6070044,1.7414589,1.8989323,3.6833329999999913,3.4935226875000027,1.7237595459693096,2.0005740250000033
Unemployment,5.275,RealGDP,2.8612,Core CPI,1.94900192417855,Core PCE,1.647664,5.2254558,3.3595822,2.0113482,1.801059,5.684981481481473,3.1132068749999986,2.025580490738621,1.6538389666666655
Unemployment,4.875,RealGDP,1.71142,Core CPI,1.99951403422141,Core PCE,1.55932373235605,4.6164756,1.7710767,2.036856,1.6484069,4.696371527777776,1.7776883749999997,1.9995140342214126,1.5499691322843956
Unemployment,3.683333,RealGDP,2.99646,Core CPI,2.191476,Core PCE,1.647664,1.5220546,2.964883,2.200853,1.6578628,1.9798610500000011,2.970384000000009,2.2764154882627916,1.6476639999999987
