Series ID,Year,Period,Label,Value
APU000074714,1980,M01,1980 Jan,1.131
APU000074714,1980,M02,1980 Feb,1.207
APU000074714,1980,M03,1980 Mar,1.252
APU000074714,1980,M04,1980 Apr,1.264
APU000074714,1980,M05,1980 May,1.266
APU000074714,1980,M06,1980 Jun,1.269
APU000074714,1980,M07,1980 Jul,1.271
APU000074714,1980,M08,1980 Aug,1.267
APU000074714,1980,M09,1980 Sep,1.257
APU000074714,1980,M10,1980 Oct,1.250
APU000074714,1980,M11,1980 Nov,1.250
APU000074714,1980,M12,1980 Dec,1.258
APU000074714,1981,M01,1981 Jan,1.298
APU000074714,1981,M02,1981 Feb,1.382
APU000074714,1981,M03,1981 Mar,1.417
APU000074714,1981,M04,1981 Apr,1.412
APU000074714,1981,M05,1981 May,1.400
APU000074714,1981,M06,1981 Jun,1.391
APU000074714,1981,M07,1981 Jul,1.382
APU000074714,1981,M08,1981 Aug,1.376
APU000074714,1981,M09,1981 Sep,1.376
APU000074714,1981,M10,1981 Oct,1.371
APU000074714,1981,M11,1981 Nov,1.369
APU000074714,1981,M12,1981 Dec,1.365
APU000074714,1982,M01,1982 Jan,1.358
APU000074714,1982,M02,1982 Feb,1.334
APU000074714,1982,M03,1982 Mar,1.284
APU000074714,1982,M04,1982 Apr,1.225
APU000074714,1982,M05,1982 May,1.237
APU000074714,1982,M06,1982 Jun,1.309
APU000074714,1982,M07,1982 Jul,1.331
APU000074714,1982,M08,1982 Aug,1.323
APU000074714,1982,M09,1982 Sep,1.307
APU000074714,1982,M10,1982 Oct,1.295
APU000074714,1982,M11,1982 Nov,1.283
APU000074714,1982,M12,1982 Dec,1.260
APU000074714,1983,M01,1983 Jan,1.230
APU000074714,1983,M02,1983 Feb,1.187
APU000074714,1983,M03,1983 Mar,1.152
APU000074714,1983,M04,1983 Apr,1.215
APU000074714,1983,M05,1983 May,1.259
APU000074714,1983,M06,1983 Jun,1.277
APU000074714,1983,M07,1983 Jul,1.288
APU000074714,1983,M08,1983 Aug,1.285
APU000074714,1983,M09,1983 Sep,1.274
APU000074714,1983,M10,1983 Oct,1.255
APU000074714,1983,M11,1983 Nov,1.241
APU000074714,1983,M12,1983 Dec,1.231
APU000074714,1984,M01,1984 Jan,1.216
APU000074714,1984,M02,1984 Feb,1.209
APU000074714,1984,M03,1984 Mar,1.210
APU000074714,1984,M04,1984 Apr,1.227
APU000074714,1984,M05,1984 May,1.236
APU000074714,1984,M06,1984 Jun,1.229
APU000074714,1984,M07,1984 Jul,1.212
APU000074714,1984,M08,1984 Aug,1.196
APU000074714,1984,M09,1984 Sep,1.203
APU000074714,1984,M10,1984 Oct,1.209
APU000074714,1984,M11,1984 Nov,1.207
APU000074714,1984,M12,1984 Dec,1.193
APU000074714,1985,M01,1985 Jan,1.148
APU000074714,1985,M02,1985 Feb,1.131
APU000074714,1985,M03,1985 Mar,1.159
APU000074714,1985,M04,1985 Apr,1.205
APU000074714,1985,M05,1985 May,1.231
APU000074714,1985,M06,1985 Jun,1.241
APU000074714,1985,M07,1985 Jul,1.242
APU000074714,1985,M08,1985 Aug,1.229
APU000074714,1985,M09,1985 Sep,1.216
APU000074714,1985,M10,1985 Oct,1.204
APU000074714,1985,M11,1985 Nov,1.207
APU000074714,1985,M12,1985 Dec,1.208
APU000074714,1986,M01,1986 Jan,1.194
APU000074714,1986,M02,1986 Feb,1.120
APU000074714,1986,M03,1986 Mar,0.981
APU000074714,1986,M04,1986 Apr,0.888
APU000074714,1986,M05,1986 May,0.923
APU000074714,1986,M06,1986 Jun,0.955
APU000074714,1986,M07,1986 Jul,0.890
APU000074714,1986,M08,1986 Aug,0.843
APU000074714,1986,M09,1986 Sep,0.860
APU000074714,1986,M10,1986 Oct,0.831
APU000074714,1986,M11,1986 Nov,0.821
APU000074714,1986,M12,1986 Dec,0.823
APU000074714,1987,M01,1987 Jan,0.862
APU000074714,1987,M02,1987 Feb,0.905
APU000074714,1987,M03,1987 Mar,0.912
APU000074714,1987,M04,1987 Apr,0.934
APU000074714,1987,M05,1987 May,0.941
APU000074714,1987,M06,1987 Jun,0.958
APU000074714,1987,M07,1987 Jul,0.971
APU000074714,1987,M08,1987 Aug,0.995
APU000074714,1987,M09,1987 Sep,0.990
APU000074714,1987,M10,1987 Oct,0.976
APU000074714,1987,M11,1987 Nov,0.976
APU000074714,1987,M12,1987 Dec,0.961
APU000074714,1988,M01,1988 Jan,0.933
APU000074714,1988,M02,1988 Feb,0.913
APU000074714,1988,M03,1988 Mar,0.904
APU000074714,1988,M04,1988 Apr,0.930
APU000074714,1988,M05,1988 May,0.955
APU000074714,1988,M06,1988 Jun,0.955
APU000074714,1988,M07,1988 Jul,0.967
APU000074714,1988,M08,1988 Aug,0.987
APU000074714,1988,M09,1988 Sep,0.974
APU000074714,1988,M10,1988 Oct,0.957
APU000074714,1988,M11,1988 Nov,0.949
APU000074714,1988,M12,1988 Dec,0.930
APU000074714,1989,M01,1989 Jan,0.918
APU000074714,1989,M02,1989 Feb,0.926
APU000074714,1989,M03,1989 Mar,0.940
APU000074714,1989,M04,1989 Apr,1.065
APU000074714,1989,M05,1989 May,1.119
APU000074714,1989,M06,1989 Jun,1.114
APU000074714,1989,M07,1989 Jul,1.092
APU000074714,1989,M08,1989 Aug,1.057
APU000074714,1989,M09,1989 Sep,1.029
APU000074714,1989,M10,1989 Oct,1.027
APU000074714,1989,M11,1989 Nov,0.999
APU000074714,1989,M12,1989 Dec,0.980
APU000074714,1990,M01,1990 Jan,1.042
APU000074714,1990,M02,1990 Feb,1.037
APU000074714,1990,M03,1990 Mar,1.023
APU000074714,1990,M04,1990 Apr,1.044
APU000074714,1990,M05,1990 May,1.061
APU000074714,1990,M06,1990 Jun,1.088
APU000074714,1990,M07,1990 Jul,1.084
APU000074714,1990,M08,1990 Aug,1.190
APU000074714,1990,M09,1990 Sep,1.294
APU000074714,1990,M10,1990 Oct,1.378
APU000074714,1990,M11,1990 Nov,1.377
APU000074714,1990,M12,1990 Dec,1.354
APU000074714,1991,M01,1991 Jan,1.247
APU000074714,1991,M02,1991 Feb,1.143
APU000074714,1991,M03,1991 Mar,1.082
APU000074714,1991,M04,1991 Apr,1.104
APU000074714,1991,M05,1991 May,1.156
APU000074714,1991,M06,1991 Jun,1.160
APU000074714,1991,M07,1991 Jul,1.127
APU000074714,1991,M08,1991 Aug,1.140
APU000074714,1991,M09,1991 Sep,1.143
APU000074714,1991,M10,1991 Oct,1.122
APU000074714,1991,M11,1991 Nov,1.134
APU000074714,1991,M12,1991 Dec,1.123
APU000074714,1992,M01,1992 Jan,1.073
APU000074714,1992,M02,1992 Feb,1.054
APU000074714,1992,M03,1992 Mar,1.058
APU000074714,1992,M04,1992 Apr,1.079
APU000074714,1992,M05,1992 May,1.136
APU000074714,1992,M06,1992 Jun,1.179
APU000074714,1992,M07,1992 Jul,1.174
APU000074714,1992,M08,1992 Aug,1.158
APU000074714,1992,M09,1992 Sep,1.158
APU000074714,1992,M10,1992 Oct,1.154
APU000074714,1992,M11,1992 Nov,1.159
APU000074714,1992,M12,1992 Dec,1.136
APU000074714,1993,M01,1993 Jan,1.117
APU000074714,1993,M02,1993 Feb,1.108
APU000074714,1993,M03,1993 Mar,1.098
APU000074714,1993,M04,1993 Apr,1.112
APU000074714,1993,M05,1993 May,1.129
APU000074714,1993,M06,1993 Jun,1.130
APU000074714,1993,M07,1993 Jul,1.109
APU000074714,1993,M08,1993 Aug,1.097
APU000074714,1993,M09,1993 Sep,1.085
APU000074714,1993,M10,1993 Oct,1.127
APU000074714,1993,M11,1993 Nov,1.113
APU000074714,1993,M12,1993 Dec,1.070
APU000074714,1994,M01,1994 Jan,1.043
APU000074714,1994,M02,1994 Feb,1.051
APU000074714,1994,M03,1994 Mar,1.045
APU000074714,1994,M04,1994 Apr,1.064
APU000074714,1994,M05,1994 May,1.080
APU000074714,1994,M06,1994 Jun,1.106
APU000074714,1994,M07,1994 Jul,1.136
APU000074714,1994,M08,1994 Aug,1.182
APU000074714,1994,M09,1994 Sep,1.177
APU000074714,1994,M10,1994 Oct,1.152
APU000074714,1994,M11,1994 Nov,1.163
APU000074714,1994,M12,1994 Dec,1.143
APU000074714,1995,M01,1995 Jan,1.129
APU000074714,1995,M02,1995 Feb,1.120
APU000074714,1995,M03,1995 Mar,1.115
APU000074714,1995,M04,1995 Apr,1.140
APU000074714,1995,M05,1995 May,1.200
APU000074714,1995,M06,1995 Jun,1.226
APU000074714,1995,M07,1995 Jul,1.195
APU000074714,1995,M08,1995 Aug,1.164
APU000074714,1995,M09,1995 Sep,1.148
APU000074714,1995,M10,1995 Oct,1.127
APU000074714,1995,M11,1995 Nov,1.101
APU000074714,1995,M12,1995 Dec,1.101
APU000074714,1996,M01,1996 Jan,1.129
APU000074714,1996,M02,1996 Feb,1.124
APU000074714,1996,M03,1996 Mar,1.162
APU000074714,1996,M04,1996 Apr,1.251
APU000074714,1996,M05,1996 May,1.323
APU000074714,1996,M06,1996 Jun,1.299
APU000074714,1996,M07,1996 Jul,1.272
APU000074714,1996,M08,1996 Aug,1.240
APU000074714,1996,M09,1996 Sep,1.234
APU000074714,1996,M10,1996 Oct,1.227
APU000074714,1996,M11,1996 Nov,1.250
APU000074714,1996,M12,1996 Dec,1.260
APU000074714,1997,M01,1997 Jan,1.261
APU000074714,1997,M02,1997 Feb,1.255
APU000074714,1997,M03,1997 Mar,1.235
APU000074714,1997,M04,1997 Apr,1.231
APU000074714,1997,M05,1997 May,1.226
APU000074714,1997,M06,1997 Jun,1.229
APU000074714,1997,M07,1997 Jul,1.205
APU000074714,1997,M08,1997 Aug,1.253
APU000074714,1997,M09,1997 Sep,1.277
APU000074714,1997,M10,1997 Oct,1.242
APU000074714,1997,M11,1997 Nov,1.213
APU000074714,1997,M12,1997 Dec,1.177
APU000074714,1998,M01,1998 Jan,1.131
APU000074714,1998,M02,1998 Feb,1.082
APU000074714,1998,M03,1998 Mar,1.041
APU000074714,1998,M04,1998 Apr,1.052
