Series ID,Year,Period,Label,Value
APU0000701312,1980,M01,1980 Jan,0.484
APU0000701312,1980,M02,1980 Feb,0.488
APU0000701312,1980,M03,1980 Mar,0.489
APU0000701312,1980,M04,1980 Apr,0.511
APU0000701312,1980,M05,1980 May,0.510
APU0000701312,1980,M06,1980 Jun,0.521
APU0000701312,1980,M07,1980 Jul,0.523
APU0000701312,1980,M08,1980 Aug,0.518
APU0000701312,1980,M09,1980 Sep,0.517
APU0000701312,1980,M10,1980 Oct,0.519
APU0000701312,1980,M11,1980 Nov,0.520
APU0000701312,1980,M12,1980 Dec,0.539
APU0000701312,1981,M01,1981 Jan,0.551
APU0000701312,1981,M02,1981 Feb,0.554
APU0000701312,1981,M03,1981 Mar,0.563
APU0000701312,1981,M04,1981 Apr,0.572
APU0000701312,1981,M05,1981 May,0.575
APU0000701312,1981,M06,1981 Jun,0.572
APU0000701312,1981,M07,1981 Jul,0.574
APU0000701312,1981,M08,1981 Aug,0.577
APU0000701312,1981,M09,1981 Sep,0.567
APU0000701312,1981,M10,1981 Oct,0.556
APU0000701312,1981,M11,1981 Nov,0.550
APU0000701312,1981,M12,1981 Dec,0.545
APU0000701312,1982,M01,1982 Jan,0.545
APU0000701312,1982,M02,1982 Feb,0.547
APU0000701312,1982,M03,1982 Mar,0.516
APU0000701312,1982,M04,1982 Apr,0.504
APU0000701312,1982,M05,1982 May,0.508
APU0000701312,1982,M06,1982 Jun,0.499
APU0000701312,1982,M07,1982 Jul,0.496
APU0000701312,1982,M08,1982 Aug,0.494
APU0000701312,1982,M09,1982 Sep,0.491
APU0000701312,1982,M10,1982 Oct,0.488
APU0000701312,1982,M11,1982 Nov,0.487
APU0000701312,1982,M12,1982 Dec,0.482
APU0000701312,1983,M01,1983 Jan,0.486
APU0000701312,1983,M02,1983 Feb,0.473
APU0000701312,1983,M03,1983 Mar,0.468
APU0000701312,1983,M04,1983 Apr,0.470
APU0000701312,1983,M05,1983 May,0.468
APU0000701312,1983,M06,1983 Jun,0.469
APU0000701312,1983,M07,1983 Jul,0.475
APU0000701312,1983,M08,1983 Aug,0.468
APU0000701312,1983,M09,1983 Sep,0.475
APU0000701312,1983,M10,1983 Oct,0.473
APU0000701312,1983,M11,1983 Nov,0.474
APU0000701312,1983,M12,1983 Dec,0.479
APU0000701312,1984,M01,1984 Jan,0.484
APU0000701312,1984,M02,1984 Feb,0.485
APU0000701312,1984,M03,1984 Mar,0.476
APU0000701312,1984,M04,1984 Apr,0.471
APU0000701312,1984,M05,1984 May,0.471
APU0000701312,1984,M06,1984 Jun,0.477
