Year,Period,Value,periodName,latest,footnotes
2015,M03,1.201,,,
2015,M04,1.165,,,
2015,M05,1.208,,,
2015,M06,1.274,,,
2015,M07,1.38,,,
2015,M08,1.493,,,
2015,M09,1.48,,,
2015,M10,1.514,,,
2015,M11,1.329,,,
2015,M12,1.229,,,
2016,M01,1.196,,,
2016,M02,1.194,,,
2016,M03,1.188,,,
2016,M04,1.176,,,
2016,M05,1.148,,,
2016,M06,1.186,,,
2016,M07,1.268,,,
2016,M08,1.365,,,
2016,M09,1.41,,,
2016,M10,1.412,,,
2016,M11,1.239,,,
2016,M12,1.169,,,
2017,M01,1.186,,,
2017,M02,1.191,,,
2017,M03,1.18,,,
2017,M04,1.174,,,
2017,M05,1.226,,,
2017,M06,1.346,,,
2017,M07,1.462,,,
2017,M08,1.453,,,
2017,M09,1.48,,,
2017,M10,1.59,,,
2017,M11,1.486,,,
2017,M12,1.315,,,
2018,M01,1.326,,,
2018,M02,1.339,,,
2018,M03,1.305,,,
2018,M04,1.291,,,
2018,M05,1.348,,,
2018,M06,1.409,,,
2018,M07,1.538,,,
2018,M08,1.559,,,
2018,M09,1.511,,,
2018,M10,1.502,,,
2018,M11,1.437,,,
2018,M12,1.389,,,
2019,M01,1.344,,,
2019,M02,1.298,,,
2019,M03,1.346,,,
2019,M04,1.28,,,
2019,M05,1.331,,,
2019,M06,1.296,,,
2019,M07,1.411,,,
2019,M08,1.442,,,
2019,M09,1.426,,,
2019,M10,1.47,,,
2019,M11,1.429,,,
2019,M12,1.327,,,
2020,M01,1.244,January,,[{}]
2020,M02,1.218,February,,[{}]
2020,M03,1.174,March,,[{}]
2020,M05,1.209,May,,[{}]
2020,M06,1.296,June,,[{}]
2020,M12,1.329,December,,[{}]
2021,M01,1.303,January,,[{}]
2021,M02,1.321,February,,[{}]
2021,M03,1.266,March,,[{}]
2021,M04,1.32,April,,[{}]
2021,M05,1.317,May,,[{}]
2021,M06,1.354,June,true,[{}]
