Year,Period,Value,periodName,latest,footnotes
1980,M01,3.208,,,
1980,M02,3.258,,,
1980,M03,3.248,,,
1980,M04,3.209,,,
1980,M05,3.2,,,
1980,M06,3.181,,,
1980,M07,3.233,,,
1980,M08,3.23,,,
1980,M09,3.159,,,
1980,M10,3.053,,,
1980,M11,2.913,,,
1980,M12,2.818,,,
1981,M01,2.777,,,
1981,M02,2.595,,,
1981,M03,2.557,,,
1981,M04,2.562,,,
1981,M05,2.538,,,
1981,M06,2.517,,,
1981,M07,2.512,,,
1981,M08,2.492,,,
1981,M09,2.46,,,
1981,M10,2.451,,,
1981,M11,2.408,,,
1981,M12,2.457,,,
1982,M01,2.475,,,
1982,M02,2.552,,,
1982,M03,2.564,,,
1982,M04,2.585,,,
1982,M05,2.567,,,
1982,M06,2.527,,,
1982,M07,2.502,,,
1982,M08,2.515,,,
1982,M09,2.517,,,
1982,M10,2.5,,,
1982,M11,2.481,,,
1982,M12,2.501,,,
1983,M01,2.528,,,
1983,M02,2.519,,,
1983,M03,2.478,,,
1983,M04,2.466,,,
1983,M05,2.459,,,
1983,M06,2.47,,,
1983,M07,2.454,,,
1983,M08,2.451,,,
1983,M09,2.438,,,
1983,M10,2.432,,,
1983,M11,2.454,,,
1983,M12,2.437,,,
1984,M01,2.495,,,
1984,M02,2.546,,,
1984,M03,2.546,,,
1984,M04,2.549,,,
1984,M05,2.567,,,
1984,M06,2.598,,,
1984,M07,2.609,,,
1984,M08,2.606,,,
1984,M09,2.617,,,
1984,M10,2.616,,,
1984,M11,2.594,,,
1984,M12,2.593,,,
1985,M01,2.585,,,
1985,M02,2.594,,,
1985,M03,2.621,,,
1985,M04,2.603,,,
1985,M05,2.606,,,
1985,M06,2.614,,,
1985,M07,2.59,,,
1985,M08,2.564,,,
1985,M09,2.563,,,
1985,M10,2.573,,,
1985,M11,2.549,,,
1985,M12,2.505,,,
1986,M01,2.737,,,
1986,M02,3.554,,,
1986,M03,3.74,,,
1986,M04,3.706,,,
1986,M05,3.655,,,
1986,M06,3.646,,,
1986,M07,3.594,,,
1986,M08,3.462,,,
1986,M09,3.315,,,
1986,M10,3.269,,,
1986,M11,3.268,,,
1986,M12,3.247,,,
1987,M01,3.192,,,
1987,M02,3.087,,,
1987,M03,2.96,,,
1987,M04,2.865,,,
1987,M05,2.777,,,
1987,M06,2.737,,,
1987,M07,2.709,,,
1987,M08,2.636,,,
1987,M09,2.654,,,
1987,M10,2.67,,,
1987,M11,2.581,,,
1987,M12,2.553,,,
1988,M01,2.635,,,
1988,M02,2.665,,,
1988,M03,2.634,,,
1988,M04,2.699,,,
1988,M05,2.729,,,
1988,M06,2.735,,,
1988,M07,2.784,,,
1988,M08,2.834,,,
1988,M09,2.84,,,
1988,M10,2.855,,,
1988,M11,2.892,,,
1988,M12,2.925,,,
1989,M01,2.964,,,
1989,M02,3.052,,,
1989,M03,3.039,,,
1989,M04,3.115,,,
1989,M05,3.163,,,
1989,M06,3.167,,,
1989,M07,3.225,,,
1989,M08,3.171,,,
1989,M09,3.098,,,
1989,M10,3.038,,,
1989,M11,2.903,,,
1989,M12,2.937,,,
1990,M01,2.917,,,
1990,M02,2.965,,,
1990,M03,2.891,,,
1990,M04,2.885,,,
1990,M05,2.938,,,
1990,M06,2.977,,,
1990,M07,3.054,,,
1990,M08,3.027,,,
1990,M09,3.025,,,
1990,M10,3.03,,,
1990,M11,2.945,,,
1990,M12,2.941,,,
1991,M01,2.945,,,
1991,M02,2.971,,,
1991,M03,2.894,,,
1991,M04,2.924,,,
1991,M05,2.879,,,
1991,M06,2.866,,,
1991,M07,2.805,,,
1991,M08,2.724,,,
1991,M09,2.692,,,
1991,M10,2.706,,,
1991,M11,2.673,,,
1991,M12,2.625,,,
1992,M01,2.668,,,
1992,M02,2.688,,,
1992,M03,2.631,,,
1992,M04,2.612,,,
1992,M05,2.66,,,
1992,M06,2.625,,,
1992,M07,2.645,,,
1992,M08,2.613,,,
1992,M09,2.537,,,
1992,M10,2.492,,,
1992,M11,2.391,,,
1992,M12,2.364,,,
1993,M01,2.352,,,
1993,M02,2.452,,,
1993,M03,2.462,,,
1993,M04,2.477,,,
1993,M05,2.514,,,
1993,M06,2.533,,,
1993,M07,2.548,,,
1993,M08,2.5,,,
1993,M09,2.493,,,
1993,M10,2.415,,,
1993,M11,2.433,,,
1993,M12,2.48,,,
1994,M01,2.53,,,
1994,M02,2.529,,,
1994,M03,2.515,,,
1994,M04,2.516,,,
1994,M05,2.535,,,
