DATE,GDPC1_PCH,GNP_PCH,GNPC96_PCH,CPILFESL,PCEPILFE,JHDUSRGDPBR,UNRATE,banana,beef,bread,chicken,coffee,eggs,electricity,flour,rice,unleadedGasoline
1962-01-01,1.7836,2.29456,1.76709,31.23333333333333,17.552,,5.633333333333333,,,,,,,,,,
1962-04-01,0.90367,1.12849,0.96138,31.366666666666664,17.619666666666667,,5.533333333333333,,,,,,,,,,
1962-07-01,1.22851,1.44285,1.2268,31.466666666666665,17.677666666666667,,5.566666666666666,,,,,,,,,,
1962-10-01,0.32886,0.64135,0.43185,31.53333333333333,17.710666666666665,,5.533333333333333,,,,,,,,,,
1963-01-01,1.09161,1.48604,1.04466,31.6,17.769666666666666,,5.766666666666667,,,,,,,,,,
1963-04-01,1.12212,1.26322,1.0852700000000002,31.73333333333333,17.836666666666666,,5.7333333333333325,,,,,,,,,,
1963-07-01,2.19843,2.33295,2.19613,31.866666666666664,17.90533333333333,,5.5,,,,,,,,,,
1963-10-01,0.6556,1.49195,0.67408,32.03333333333333,17.991666666666667,,5.566666666666666,,,,,,,,,,
1964-01-01,2.10828,2.4776700000000003,2.15888,32.2,18.067666666666664,,5.466666666666667,,,,,,,,,,
1964-04-01,1.0887,1.28452,1.04926,32.233333333333334,18.122,,5.2,,,,,,,,,,
1964-07-01,1.5623,1.97938,1.57343,32.3,18.172,,5.0,,,,,,,,,,
1964-10-01,0.30889,0.70838,0.25258,32.46666666666666,18.218,,4.966666666666667,,,,,,,,,,
1965-01-01,2.41977,3.02101,2.4992,32.6,18.286666666666665,,4.9,,,,,,,,,,
1965-04-01,1.26327,1.7431599999999998,1.27898,32.7,18.344,,4.666666666666666,,,,,,,,,,
1965-07-01,2.22327,2.54732,2.14961,32.733333333333334,18.400666666666663,,4.366666666666666,,,,,,,,,,
1965-10-01,2.30404,2.92456,2.22148,32.9,18.462,,4.1,,,,,,,,,,
1966-01-01,2.43423,3.10155,2.44065,33.06666666666666,18.554333333333332,,3.8666666666666663,,,,,,,,,,
1966-04-01,0.34162,1.16156,0.3405,33.4,18.704666666666665,,3.8333333333333326,,,,,,,,,,
1966-07-01,0.84691,1.7989400000000002,0.8264299999999999,33.7,18.859333333333332,,3.7666666666666666,,,,,,,,,,
1966-10-01,0.82037,1.6929299999999998,0.84391,34.03333333333333,19.022333333333332,,3.7,,,,,,,,,,
1967-01-01,0.88559,1.29102,0.8715299999999999,34.233333333333334,19.127333333333333,,3.8333333333333326,,,,,,,,,,
1967-04-01,0.06127,0.55004,0.0425399999999999,34.5,19.255333333333333,,3.8333333333333326,,,,,,,,,,
1967-07-01,0.94613,1.97398,1.0056200000000002,34.86666666666667,19.430333333333333,,3.8,,,,,,,,,,
1967-10-01,0.75402,1.84873,0.72888,35.233333333333334,19.62633333333333,0.0,3.9,,,,,,,,,,
1968-01-01,2.03949,3.17703,2.04292,35.666666666666664,19.849666666666664,0.0,3.733333333333333,,,,,,,,,,
1968-04-01,1.67081,2.74693,1.67323,36.03333333333333,20.080666666666666,0.0,3.566666666666667,,,,,,,,,,
1968-07-01,0.7749699999999999,1.7794599999999998,0.78996,36.53333333333333,20.305333333333333,0.0,3.533333333333333,,,,,,,,,,
1968-10-01,0.3933,1.79965,0.38549,37.06666666666666,20.54133333333333,0.0,3.4,,,,,,,,,,
1969-01-01,1.56511,2.60392,1.5572700000000002,37.56666666666666,20.766,0.0,3.4,,,,,,,,,,
1969-04-01,0.30401,1.55151,0.27703,38.166666666666664,21.014666666666663,1.0,3.433333333333333,,,,,,,,,,
1969-07-01,0.66051,2.04131,0.6271100000000001,38.7,21.25733333333333,1.0,3.566666666666667,,,,,,,,,,
1969-10-01,-0.4876899999999999,0.79737,-0.48502,39.23333333333333,21.50633333333333,1.0,3.566666666666667,,,,,,,,,,
1970-01-01,-0.14848,1.27595,-0.13111,39.83333333333333,21.741333333333333,1.0,4.166666666666666,,,,,,,,,,
1970-04-01,0.14192,1.56267,0.16267,40.56666666666666,21.987,1.0,4.766666666666667,,,,,,,,,,
1970-07-01,0.92158,1.7347099999999998,0.90613,41.1,22.231333333333332,1.0,5.166666666666666,,,,,,,,,,
1970-10-01,-1.07164,0.1857,-1.11946,41.766666666666666,22.543666666666663,1.0,5.833333333333333,,,,,,,,,,
1971-01-01,2.71599,4.37556,2.81043,42.166666666666664,22.82933333333333,0.0,5.933333333333333,,,,,,,,,,
1971-04-01,0.5411100000000001,1.89713,0.57527,42.6,23.089666666666663,0.0,5.9,,,,,,,,,,
1971-07-01,0.8229799999999999,1.77703,0.74763,42.96666666666666,23.307333333333332,0.0,6.033333333333333,,,,,,,,,,
1971-10-01,0.23578,1.1047,0.26945,43.2,23.44033333333333,0.0,5.933333333333333,,,,,,,,,,
1972-01-01,1.83895,3.4021800000000004,1.85607,43.56666666666666,23.665,0.0,5.766666666666667,,,,,,,,,,
1972-04-01,2.26976,2.88194,2.24311,43.9,23.825,0.0,5.7,,,,,,,,,,
1972-07-01,0.94439,1.96158,0.99442,44.23333333333333,24.00433333333333,0.0,5.566666666666666,,,,,,,,,,
1972-10-01,1.6744599999999998,2.95825,1.65815,44.46666666666666,24.155,0.0,5.366666666666666,,,,,,,,,,
